AP - 动作电位,M000222,AP,动作电位,,abbr.,,,AP stands for action potential in the context of neuroscience.,"When a neuron reaches its threshold, an AP is generated, allowing it to transmit a signal.",,,251007A036,「claude阅览前测试」
Concentration - 浓度,M000240,Concentration,浓度,/ˌkɒnsənˈtreɪʃən/,n.,化學,,"Concentration refers to the amount of a substance in a given volume, such as the concentration of salt in seawater.",The concentration of sugar in the solution made it very sweet.,,,251007A036,「claude阅览前测试」
Phospholipid - 磷脂,M000241,Phospholipid,磷脂,/ˌfɑs.fəˈlɪp.ɪd/,n.,生物,,A phospholipid is a type of lipid that is a major component of cell membranes.,"In biological studies, the role of phospholipid in membrane formation is crucial for cell function.",,,251007A036,「claude阅览前测试」
Bilayer - 双层,M000242,Bilayer,双层,/ˈbaɪˌleɪər/,n.,生物,,A bilayer consists of two layers of material stacked together.,The cell membrane is known for its structure as a bilayer that separates the interior of the cell from the exterior environment.,,,251007A036,「claude阅览前测试」
Mammalian - 哺乳动物的,M000243,Mammalian,哺乳动物的,/məˈmeɪliən/,adj.,生物,,Mammalian species are characterized by their ability to nurse their young with milk.,The mammalian brain has complex structures that support advanced cognitive functions.,,,251007A036,「claude阅览前测试」
Canonical ionic distributions - 典型离子分布,M000244,Canonical ionic distributions,典型离子分布,/kəˈnænɪkəl ˈaɪənɪk dɪstrɪˈbjuʃənz/,P.,物理,,Canonical ionic distributions refer to the standard representations of ionic arrangements in a substance.,"In solid-state physics, canonical ionic distributions are crucial for understanding ionic conductivity.",canonical ionic distributions,standard_representations_of_ionic_arrangements,251007A036,「claude阅览前测试」
Graded (Passive) potentials - 分级（被动）电位,M000245,Graded (Passive) potentials,分级（被动）电位,/ˈɡreɪdɪd pəˈtɛnʃəlz/,P.,生物,,Graded potentials are changes in membrane potential that vary in size and are not all-or-nothing like action potentials.,"In neurons, graded potentials can lead to the generation of action potentials if they reach a certain threshold.",,,251007A036,「claude阅览前测试」
Threshold potential - 阈电位,M000246,Threshold potential,阈电位,/ˈθrɛʃhoʊld pəˈtɛnʃəl/,P.,生物,,Threshold potential refers to the critical level to which a membrane potential must be depolarized in order to initiate an action potential.,"When the neuron reaches the threshold potential, it triggers an explosion of electrical activity that spreads along the axon.",threshold potential,critical_level_to_initiate_an_action_potential,251007A036,「claude阅览前测试」
Overshoot - 超冲,M000247,Overshoot,超冲,/ˈoʊvərˌʃut/,vt.,,,To overshoot means to go beyond a target or range.,The missile was programmed to overshoot its target if necessary to ensure a successful strike.,,,251007A036,「claude阅览前测试」
Undershoot - 下冲,M000248,Undershoot,下冲,/ˌʌndərˈʃut/,vt.,,,To undershoot means to miss a target by failing to reach it entirely.,The team's hopes to secure a place in the finals were dashed when they undershot their last project deadline.,,,251007A036,「claude阅览前测试」
Drift - 漂移,M000249,Drift,漂移,/drɪft/,vi.,體育,,Drift refers to a gradual change or movement from one place to another.,"The car began to drift on the icy road, making it hard to control.",,,251007A036,「claude阅览前测试」
V-G ion channels - 电压门控离子通道,M000250,V-G ion channels,电压门控离子通道,,abbr.,生物,,V-G ion channels are critical for the propagation of action potentials in neurons.,"In cardiac muscle, V-G ion channels play a vital role in regulating heartbeat by controlling the influx of calcium ions.",,,251007A036,「claude阅览前测试」
Gastropod - 腹足类动物,M000251,Gastropod,腹足类动物,/ˈɡæstrəˌpɒd/,n.,生物,,A gastropod is a type of mollusk that moves using a muscular foot located on the underside of its body.,Snails are the most familiar examples of gastropods found in gardens and on land.,,,251007A036,「claude阅览前测试」
Nodes of ranvier - 朗飞结,M000252,Nodes of ranvier,朗飞结,/noʊdz əv ˈrænviːeɪ/,P.,生物,,The nodes of Ranvier are gaps in the myelin sheath of a nerve fiber where action potentials are generated.,"In studying the nervous system, we observed how the nodes of Ranvier facilitate faster signal transmission between neurons.",nodes of ranvier,gaps_in_the_myelin_sheath,251007A036,「claude阅览前测试」
Saltatory conduction - 跳跃式传导,M000253,Saltatory conduction,跳跃式传导,/ˌsɔːltəˈtɔːri kənˈdʌkʃən/,P.,,,Saltatory conduction is the process by which nerve impulses jump from one node of Ranvier to another along the axon.,"In my neuroscience class, we learned that saltatory conduction accelerates the transmission of signals in myelinated neurons.",saltatory conduction,jumping_transmission,251007A036,「claude阅览前测试」
Pathologies - 病理学,M000254,Pathologies,病理学,/pəˈθɒlədʒiz/,n.,醫學,,Pathologies refer to the study of diseases and their effects on the body.,"In her research, she focused on the pathologies that arise from prolonged exposure to toxins.",,,251007A036,「claude阅览前测试」
Autoimmune - 自身免疫性,M000255,Autoimmune,自身免疫性,/ˌɔːtəʊɪˈmjuːn/,adj.,醫學,,Autoimmune diseases occur when the body's immune system mistakenly attacks its own tissues.,She was diagnosed with an autoimmune condition that caused her joints to swell.,,,251007A036,「claude阅览前测试」
Multiple sclerosis - 多发性硬化,M000256,Multiple sclerosis,多发性硬化,,P.,醫學,,Multiple sclerosis is a chronic disease that affects the central nervous system.,"After being diagnosed with multiple sclerosis, she had to adjust her lifestyle significantly.",,,251007A036,「claude阅览前测试」
Guillain-barré syndrome - 格林－巴利综合征,M000257,Guillain-barré syndrome,格林－巴利综合征,/ɡiːˌjɑːn bɑːˈreɪ ˈsɪndroʊm/,P.,醫學,,Guillain-barré syndrome is an autoimmune disorder that affects the peripheral nervous system.,"After recovering from a viral infection, she was diagnosed with Guillain-barré syndrome, which explained her sudden muscle weakness.",,,251007A036,「claude阅览前测试」
