AP - 动作电位,M000222,AP,动作电位,,abbr.,,,"AP is the abbreviation for action potential, a rapid change in electrical charge across a cell membrane.",The neuroscientist measured the AP frequency to determine the neuron's firing rate.,,,250928B036,
Threshold potential - 阈电位,M000246,Threshold potential,阈电位,/ˈθreʃhoʊld pəˈtenʃəl/,P.,,,The threshold potential is the critical level of depolarization that a membrane potential must reach to trigger an action potential in a neuron or muscle cell.,"When the sodium ions rush into the cell and the membrane reaches the threshold potential of approximately -55mV, the neuron fires an action potential.",,,250928B036,
Overshoot - 超冲,M000247,Overshoot,超冲,/ˌoʊvɚˈʃuːt/,vt.,,,The aircraft will overshoot the runway if the pilot doesn't reduce speed immediately.,The economy tends to overshoot its target growth rate during periods of excessive stimulus.,over shoot,beyond shoot,250928B036,
Undershoot - 下冲,M000248,Undershoot,下冲,/ˌʌndɚˈʃut/,vt.,,,The aircraft began to undershoot the runway due to insufficient thrust during the final approach.,The pilot had to apply full throttle when he realized the plane would undershoot the intended landing zone by several hundred feet.,under shoot,below aim,250928B036,
Drift - 漂移,M000249,Drift,漂移,/drɪft/,vi.,,,The car began to drift sideways on the icy road.,"During the race, the driver expertly let his vehicle drift through the sharp corner.",,,250928B036,
V-G ion channels - 电压门控离子通道,M000250,V-G ion channels,电压门控离子通道,/ˈvi dʒi ˈaɪən ˈtʃænəlz/,P.,,,"V-G ion channels are transmembrane proteins that open or close in response to changes in membrane potential, allowing specific ions to flow across the cell membrane.","The action potential is generated when V-G ion channels rapidly open, causing sodium ions to rush into the neuron.",,,250928B036,
Gastropod - 腹足类动物,M000251,Gastropod,腹足类动物,/ˈɡæstrəpɑd/,n.,生物,,A gastropod is a mollusk that typically has a single coiled shell and moves by means of a muscular foot on its underside.,The garden snail is a common gastropod that can damage vegetable crops by eating the leaves.,gastro pod,stomach foot,250928B036,
Nodes of ranvier - 朗飞结,M000252,Nodes of ranvier,朗飞结,/ˌnoʊdz əv ˈrɑnvieɪ/,P.,,,Nodes of Ranvier are regularly spaced gaps in the myelin sheath along nerve fibers where action potentials are regenerated.,The speed of nerve impulse conduction increases because the signal jumps from one node of Ranvier to the next in a process called saltatory conduction.,,,250928B036,
Saltatory conduction - 跳跃式传导,M000253,Saltatory conduction,跳跃式传导,/ˈsæltəˌtɔri kənˈdʌkʃən/,P.,,,Saltatory conduction is the rapid transmission of nerve impulses that jumps from one node of Ranvier to the next along myelinated axons.,"The myelin sheath enables saltatory conduction, allowing electrical signals to travel up to 100 times faster than in unmyelinated fibers.",salt duct,leap lead,250928B036,
Pathologies - 病理学,M000254,Pathologies,病理学,/pəˈθɑlədʒiz/,n.,醫學,,Pathologies are the scientific studies of diseases and the structural and functional changes they cause in the body.,The medical students spent hours reviewing different pathologies to prepare for their diagnostic exam.,patho log,disease study,250928B036,
Autoimmune - 自身免疫性,M000255,Autoimmune,自身免疫性,/ˌɔːtoʊɪˈmjuːn/,adj.,醫學,,An autoimmune condition occurs when the body's immune system mistakenly attacks its own healthy tissues.,Rheumatoid arthritis is an autoimmune disease that causes inflammation in the joints.,auto immune,self immune,250928B036,
Multiple sclerosis - 多发性硬化,M000256,Multiple sclerosis,多发性硬化,/ˈmʌltɪpəl skləˈroʊsɪs/,P.,,,Multiple sclerosis is a chronic autoimmune disease that damages the protective covering of nerve fibers in the brain and spinal cord.,Her multiple sclerosis diagnosis came after years of experiencing unexplained numbness and fatigue.,multi scler,many hard,250928B036,
Guillain-barré syndrome - 格林－巴利综合征,M000257,Guillain-barré syndrome,格林－巴利综合征,/ɡiˈlæn bɑˈreɪ ˈsɪndroʊm/,P.,,,"Guillain-Barré syndrome is a rare neurological disorder in which the body's immune system attacks the peripheral nerves, causing muscle weakness and sometimes paralysis.",The patient was diagnosed with Guillain-Barré syndrome after experiencing progressive weakness in both legs following a respiratory infection.,,,250928B036,
