WMpair,MemoID,Word,ZhDef,IPA,POS,Tag,Rarity,EnDef,Example,PPfix,PPmeans,BatchID,BatchNote
S-P pump - 钠-钾泵,M000232,S-P pump,钠-钾泵,sodium-potassium pump,abbr.,,,The S-P pump is a type of ion pump that helps maintain sodium and potassium balance across cell membranes.,The S-P pump regulates the concentration of sodium and potassium in animal cells.,,sodium-potassium_pump,250920C058,「tagtagtag」
Ion pump - 离子泵,M000233,Ion pump,离子泵,/ˈaɪən pʌmp/,P.,,,An ion pump is a protein that moves ions across a cell membrane against their concentration gradient.,The ion pump actively transports sodium out of the cell and potassium into the cell.,,ion_pump,250920C058,「tagtagtag」
Depolarization - 去极化,M000234,Depolarization,去极化,/ˌdiːˌpoʊləraɪˈzeɪʃən/,n.,,,"Depolarization is the process where the membrane potential of a cell becomes less negative, moving towards zero.","The neuron's response was triggered by depolarization, allowing the signal to transmit down the axon.",de polar,reduction_in_polarity,250920C058,「tagtagtag」
Hyperpolarization - 超极化,M000235,Hyperpolarization,超极化,/ˌhaɪpərˌpoʊlərɪˈzeɪʃən/,n.,,,Hyperpolarization is the process in which a cell's membrane potential becomes more negative than its resting potential.,"After stimulation, the neuron underwent hyperpolarization, making it less likely to fire an action potential.",hyper_,more_negative_than_resting_potential,250920C058,「tagtagtag」
Synapse - 突触,M000236,Synapse,突触,/ˈsɪnæps/,n.,,,A synapse is the junction between two neurons that allows them to communicate.,The electrical impulses traveled across the synapse to the next neuron.,syn_ napse,junction_between_neurons,250920C058,「tagtagtag」
Repolarization - 复极化,M000237,Repolarization,复极化,/ˌriːˌpɔːləraɪˈzeɪʃən/,n.,,,Repolarization is the process by which a cell's membrane potential is restored to a resting state after depolarization.,"After the action potential, repolarization occurs as potassium ions flow out of the neuron.",re- polar- ization,restoration_of_membrane_potential,250920C058,「tagtagtag」
Chemical gradient - 化学梯度,M000238,Chemical gradient,化学梯度,/ˈkɛmɪkəl ˈɡreɪdənt/,P.,,,A chemical gradient refers to a spatial variation in the concentration of a chemical substance.,The cells moved towards the area with a higher chemical gradient to enhance nutrient uptake.,chemical gradient,chemical_gradient,250920C058,「tagtagtag」
Intracellular - 细胞内,M000239,Intracellular,细胞内,/ˌɪntrəˈsɛl.jʊ.lɚ/,adj.,,,Intracellular refers to anything located within a cell.,"The virus replicated intracellularly, affecting the host's cellular functions.",intra-,within_cell,250920C058,「tagtagtag」
Concentration - 浓度,M000240,Concentration,浓度,/ˌkɒnsənˈtreɪʃən/,n.,,,Concentration is a measure of how much of a substance is present in a given volume of solution.,The concentration of salt in the water was too high to support aquatic life.,con- centrat- ion,amount_of_substance_per_volume,250920C058,「tagtagtag」
Phospholipid - 磷脂,M000241,Phospholipid,磷脂,/ˌfɑs.foʊˈlɪp.ɪd/,n.,,,A phospholipid is a molecule that is a key component of cell membranes.,Phospholipids form bilayers that create protective barriers around cells.,phospho lipo,phosphate_lipid,250920C058,「tagtagtag」
Bilayer - 双层,M000242,Bilayer,双层,/ˈbaɪˌleɪɚ/,n.,,,"A bilayer is a structure composed of two layers of material, often used in membrane technology.",The cell membrane is a common example of a bilayer structure.,bi layer,two_layers,250920C058,「tagtagtag」
Mammalian - 哺乳动物的,M000243,Mammalian,哺乳动物的,/məˈmeɪliən/,adj.,,,Mammalian species are characterized by their ability to nurse their young with milk.,The dolphin is a highly intelligent mammalian species that lives in the ocean.,mamma-,nurse_ones_young_with_milk,250920C058,「tagtagtag」
Canonical ionic distributions - 典型离子分布,M000244,Canonical ionic distributions,典型离子分布, /kəˈnænɪkəl ˈaɪənɪk dɪsˈtrɪbjuːʃənz/ ,P.,,,Canonical ionic distributions refer to the typical arrangements of ions in a crystalline structure.,"In solid-state physics, understanding canonical ionic distributions helps predict the material's properties.",canonical ionic distributions,canonical_ionic_distributions,250920C058,「tagtagtag」
Graded (Passive) potentials - 分级（被动）电位,M000245,Graded (Passive) potentials,分级（被动）电位,/ˈɡreɪdɪd pəˈtɛnʃəlz/,P.,,,"Graded potentials are changes in membrane potential that vary in size, as opposed to being all-or-nothing.","When a neuron receives a stimulus, it can generate graded potentials that influence whether an action potential occurs.",graded potential,graded_passive_electrical_potential,250920C058,「tagtagtag」
Threshold potential - 阈电位,M000246,Threshold potential,阈电位, /ˈθrɛʃhoʊld pəˈtɛnʃəl/ ,P.,,,Threshold potential refers to the minimum membrane potential that must be reached for an action potential to be initiated in a neuron.,"When the neuron reaches its threshold potential, it will fire an action potential.",,threshold_potential,250920C058,「tagtagtag」
Overshoot - 超冲,M000247,Overshoot,超冲,/ˈoʊvərʃut/,vt.,,,To overshoot means to go further than intended or necessary.,The athlete overshot the landing zone and fell into the water.,,overshoot,250920C058,「tagtagtag」
Undershoot - 下冲,M000248,Undershoot,下冲,/ˌʌndərˈʃut/,vt.,,,To undershoot means to fall short of a target or goal.,The archer tended to undershoot the target during the competition.,,fall_short_of_a_target,250920C058,「tagtagtag」
Drift - 漂移,M000249,Drift,漂移,/drɪft/,vi.,,,"To move slowly or aimlessly, often due to external forces.",The boat began to drift away from the shore.,drift,move_aimlessly,250920C058,「tagtagtag」
V-G ion channels - 电压门控离子通道,M000250,V-G ion channels,电压门控离子通道,voltage-gated channels,P.,,,"V-G ion channels are proteins that open or close in response to changes in membrane voltage, allowing ions to flow across the cell membrane.","When the membrane potential reaches a certain threshold, V-G ion channels open to facilitate the influx of sodium ions during an action potential.",,voltage_gated_ion_channels,250920C058,「tagtagtag」
Gastropod - 腹足类动物,M000251,Gastropod,腹足类动物, /ˈɡæstrəpɒd/,n.,,,"A gastropod is a type of mollusk that has a single, usually spirally coiled shell and a large foot used for locomotion.",The garden was filled with colorful gastropods crawling slowly along the leaves.,gastro pod,stomach_foot,250920C058,「tagtagtag」
Nodes of ranvier - 朗飞结,M000252,Nodes of ranvier,朗飞结,ˈnoʊdz əv ˈrænvɪr,P.,,,Nodes of Ranvier are small gaps in the myelin sheath that facilitate rapid signal transmission in nerve fibers.,"The electrical impulses jump from one node of Ranvier to the next, speeding up the overall communication along the neuron.",,nodes_of_ranvier,250920C058,「tagtagtag」
Saltatory conduction - 跳跃式传导,M000253,Saltatory conduction,跳跃式传导, /sælˈtɔːrəˌtɔːri kənˈdʌkʃən/ ,P.,,,Saltatory conduction refers to the process by which action potentials jump from one node of Ranvier to another along a myelinated axon.,The saltatory conduction in myelinated neurons increases the speed of nerve impulse transmission.,,saltatory_conduction,250920C058,「tagtagtag」
Pathologies - 病理学,M000254,Pathologies,病理学,/pəˈθɒlədʒiz/,n.,,,Pathologies refer to the study of the nature of diseases.,"Certain pathologies (autoimmune, infectious, genetic, etc.) cause the degeneration of myelin sheath in specific neurons.",patho- logy,diseases_study,250920C058,「tagtagtag」
Autoimmune - 自身免疫性,M000255,Autoimmune,自身免疫性,/ˌɔːtəʊɪˈmjun/,adj.,,,Autoimmune diseases occur when the body's immune system mistakenly attacks its own tissues.,She was diagnosed with an autoimmune condition that affected her joints.,auto immu ne,self_immunity_condition,250920C058,「tagtagtag」
Multiple sclerosis - 多发性硬化,M000256,Multiple sclerosis,多发性硬化,ˈmʌltəpəl skləˈroʊsɪs,P.,,,Multiple sclerosis is a chronic disease that affects the central nervous system and can cause a variety of symptoms.,She was diagnosed with multiple sclerosis after experiencing unusual fatigue and weakness.,,multiple_sclerosis,250920C058,「tagtagtag」
Guillain-barré syndrome - 格林－巴利综合征,M000257,Guillain-barré syndrome,格林－巴利综合征,/ɡiˈjɑ̃ bɑˈreɪ ˈsɪnˌdroʊm/,abbr.,,,Guillain-barré syndrome is a rare neurological disorder that causes the body's immune system to attack the nerves.,"After recovering from an infection, she was diagnosed with Guillain-barré syndrome.",guillain-barré,guillain_barré_syndrome,250920C058,「tagtagtag」
