WMpair,MemoID,Word,ZhDef,IPA,POS,Tag,Rarity,EnDef,Example,PPfix,PPmeans,BatchID,BatchNote
S-P pump - 钠-钾泵,M000232,S-P pump,钠-钾泵,sodium-potassium pump,abbr.,physiology,,The S-P pump is a vital protein that helps transport sodium and potassium ions across cell membranes.,The proper functioning of the S-P pump is crucial for maintaining cellular homeostasis.,,sodium-potassium_pump,250920F058,「abbr fix」
Ion pump - 离子泵,M000233,Ion pump,离子泵,,abbr.,biology,,An ion pump is a transmembrane protein that moves ions across a cellular membrane against their concentration gradient.,The ion pump actively transports sodium ions out of the cell while bringing potassium ions in.,,ion_pump,250920F058,「abbr fix」
Depolarization - 去极化,M000234,Depolarization,去极化,,abbr.,physiology,,Depolarization is the process by which a cell's membrane potential becomes more positive than its resting state.,"After stimulation, the depolarization of the neuron allows it to transmit an electrical impulse.",,depolarization,250920F058,「abbr fix」
Hyperpolarization - 超极化,M000235,Hyperpolarization,超极化,,abbr.,physiology,,Hyperpolarization occurs when a cell's membrane potential becomes more negative than its resting potential.,"After a strong stimulus, the neuron experienced hyperpolarization, making it less likely to fire an action potential.",,cell_membrane_potential_more_negative,250920F058,「abbr fix」
Synapse - 突触,M000236,Synapse,突触,,abbr.,biology,,A synapse is the junction between two nerve cells where impulses pass by diffusion of a neurotransmitter.,The signal transmitted through the synapse triggers a response in the receiving neuron.,,neural_connection,250920F058,「abbr fix」
Repolarization - 复极化,M000237,Repolarization,复极化,,abbr.,physiology,,Repolarization is the process of restoring the membrane potential of a cell after depolarization.,"After the action potential, the neuron undergoes repolarization to reset its electrical state.",,restoration_of_membrane_potential,250920F058,「abbr fix」
Chemical gradient - 化学梯度,M000238,Chemical gradient,化学梯度,,abbr.,,,A chemical gradient refers to the gradual change in the concentration of a substance in a solution over a certain distance.,The movement of molecules across the cell membrane is influenced by the chemical gradient.,,,250920F058,「abbr fix」
Intracellular - 细胞内,M000239,Intracellular,细胞内,,abbr.,biology,,Intracellular refers to something located within a cell.,Many cellular processes occur in the intracellular environment.,,cell_within,250920F058,「abbr fix」
Concentration - 浓度,M000240,Concentration,浓度,,abbr.,chemistry,,Concentration refers to the amount of a substance in a given volume of solution.,The concentration of salt in the water increased as it evaporated.,,amount_of_a_substance_in_a_solution,250920F058,「abbr fix」
Phospholipid - 磷脂,M000241,Phospholipid,磷脂,,abbr.,biology,,A phospholipid is a type of lipid molecule that is a major component of cell membranes.,Phospholipids arrange themselves into bilayers to create the structure of cell membranes.,,phospho_lipid,250920F058,「abbr fix」
Bilayer - 双层,M000242,Bilayer,双层,,abbr.,biology,,A bilayer is a structure consisting of two layers stacked on top of each other.,The cell membrane is composed of a phospholipid bilayer that protects the interior of the cell.,,two_layers,250920F058,「abbr fix」
Mammalian - 哺乳动物的,M000243,Mammalian,哺乳动物的,,abbr.,biology,,Mammalian animals are characterized by their ability to nurse their young with milk.,"Whales are the largest living mammals, showcasing the diversity of mammalian life in the ocean.",,nursing_animals,250920F058,「abbr fix」
Canonical ionic distributions - 典型离子分布,M000244,Canonical ionic distributions,典型离子分布,,abbr.,physics,,Canonical ionic distributions refer to the typical arrangements of ions in a crystalline structure.,"In solid-state physics, researchers study canonical ionic distributions to understand the properties of materials.",,typical_ionic_distributions,250920F058,「abbr fix」
Graded (Passive) potentials - 分级（被动）电位,M000245,Graded (Passive) potentials,分级（被动）电位,,abbr.,physiology,,Graded potentials are changes in the electrical potential across a cell membrane that vary in size depending on the strength of the stimulus.,The graded potentials in nerve cells can lead to the generation of action potentials if they reach a certain threshold.,,graded_passive_potentials,250920F058,「abbr fix」
Threshold potential - 阈电位,M000246,Threshold potential,阈电位,,abbr.,physiology,,The threshold potential is the level of membrane depolarization necessary to trigger an action potential in a neuron.,"When the neuron reaches its threshold potential, it fires an action potential and transmits a signal.",,threshold_potential,250920F058,「abbr fix」
Overshoot - 超冲,M000247,Overshoot,超冲,,abbr.,aeronautic,,To overshoot means to exceed the intended target or limit.,The rocket overshot its landing zone and landed in the ocean instead.,,exceed_target,250920F058,「abbr fix」
Undershoot - 下冲,M000248,Undershoot,下冲,,abbr.,,,To undershoot means to fall short of a target or mark in a physical or metaphorical sense.,"The arrow undershot the target, missing it completely.",,fall_short_of_target,250920F058,「abbr fix」
Drift - 漂移,M000249,Drift,漂移,,abbr.,transport,,Drift refers to the gradual movement or change of something over time.,The boat began to drift away from the shore as the tide changed.,,gradual_movement,250920F058,「abbr fix」
V-G ion channels - 电压门控离子通道,M000250,V-G ion channels,电压门控离子通道,voltage-gated channels,abbr.,biology,,V-G ion channels are proteins in cell membranes that open or close in response to changes in voltage across the membrane.,V-G ion channels play a crucial role in the generation of action potentials in nerve cells.,,voltage_gated_ion_channels,250920F058,「abbr fix」
Gastropod - 腹足类动物,M000251,Gastropod,腹足类动物,,abbr.,biology,,"Gastropods are a class of mollusks that include snails and slugs, characterized by a single, usually spirally coiled shell.",She discovered a beautiful gastropod shell while walking along the beach.,,class_of_mollusks_with_single_shell,250920F058,「abbr fix」
Nodes of ranvier - 朗飞结,M000252,Nodes of ranvier,朗飞结,,abbr.,anatomy,,"The nodes of Ranvier are gaps in the myelin sheath that encase nerve fibers, facilitating rapid signal transmission.","The action potential jumps between the nodes of Ranvier, allowing for faster conduction along the nerve.",,nodes_of_ranvier,250920F058,「abbr fix」
Saltatory conduction - 跳跃式传导,M000253,Saltatory conduction,跳跃式传导,,abbr.,physiology,,"Saltatory conduction is a process wherein nerve impulses jump from one node of Ranvier to another, increasing the speed of transmission.","In saltatory conduction, the electrical signal moves much faster than in continuous conduction.",saltator-,jumping_transmission,250920F058,「abbr fix」
Pathologies - 病理学,M000254,Pathologies,病理学,,abbr.,medicine,,Pathologies refer to the study of diseases and their effects on the body.,"Certain pathologies (autoimmune, infectious, genetic, etc.) cause the degeneration of myelin sheath in specific neurons.",,diseases_study,250920F058,「abbr fix」
Autoimmune - 自身免疫性,M000255,Autoimmune,自身免疫性,,abbr.,medicine,,Autoimmune diseases occur when the body's immune system mistakenly attacks its own healthy cells.,Lupus is a common autoimmune disorder that can affect various parts of the body.,,autoimmune,250920F058,「abbr fix」
Multiple sclerosis - 多发性硬化,M000256,Multiple sclerosis,多发性硬化,,abbr.,medicine,,Multiple sclerosis is a chronic disease that affects the central nervous system.,Many individuals with multiple sclerosis manage their symptoms through various treatments.,,multiple_sclerosis,250920F058,「abbr fix」
Guillain-barré syndrome - 格林－巴利综合征,M000257,Guillain-barré syndrome,格林－巴利综合征,/ɡiˈjɛ̃ bɑˈɹeɪ ˈsɪnˌdroʊm/,P.,medicine,,Guillain-barré syndrome is a rare neurological disorder that causes the body's immune system to mistakenly attack the peripheral nerves.,Patients with Guillain-barré syndrome often experience weakness and tingling in their limbs.,,guillain_barre_syndrome,250920F058,「abbr fix」
