WMpair,MemoID,Word,ZhDef,IPA,POS,Tag,Rarity,EnDef,Example,PPfix,PPmeans,BatchID,BatchNote
Repolarization - 复极化,M000237,Repolarization,复极化,,abbr.,生理,,Repolarization is the process by which cells restore their resting membrane potential after depolarization.,"After the action potential, the neuron undergoes repolarization to return to its resting state.",,,250920O058,
Chemical gradient - 化学梯度,M000238,Chemical gradient,化学梯度,,abbr.,生物,,A chemical gradient refers to a difference in concentration of a substance across a space or membrane.,"The movement of substances in and out of cells often occurs along a chemical gradient, influencing many physiological processes.",,,250920O058,
Intracellular - 细胞内,M000239,Intracellular,细胞内,,abbr.,生物,,Intracellular refers to something that is located within a cell.,The process of protein synthesis occurs primarily in the intracellular environment.,,,250920O058,
Concentration - 浓度,M000240,Concentration,浓度,,abbr.,化學,,Concentration refers to the amount of a substance in a given volume or mass of a solution or mixture.,The concentration of the solution was measured before the experiment.,,,250920O058,
Phospholipid - 磷脂,M000241,Phospholipid,磷脂,,abbr.,生化,,Phospholipid is a major component of cell membranes that helps to define the boundary of cells.,Phospholipids form the bilayer structure of cell membranes.,,,250920O058,
Bilayer - 双层,M000242,Bilayer,双层,,abbr.,生物,,A bilayer is a structure composed of two layers stacked on top of one another.,The cell membrane is a bilayer that separates the interior of the cell from the external environment.,,,250920O058,
Mammalian - 哺乳动物的,M000243,Mammalian,哺乳动物的,,abbr.,生物,,Mammalian creatures are characterized by their ability to nurse their young with milk.,The mammalian brain has complex structures that allow for advanced cognitive functions.,,,250920O058,
Canonical ionic distributions - 典型离子分布,M000244,Canonical ionic distributions,典型离子分布,,abbr.,化學,,Canonical ionic distributions refer to the standard arrangements of ions in a crystal structure.,The study found that the canonical ionic distributions in the crystal lattice significantly affect its electrical properties.,,,250920O058,
Graded (Passive) potentials - 分级（被动）电位,M000245,Graded (Passive) potentials,分级（被动）电位,,abbr.,生理,,Graded (Passive) potentials are changes in membrane potential that vary in magnitude and are not all-or-none like action potentials.,The neuron's response to stimuli can produce graded (passive) potentials that decay over distance.,,,250920O058,
Threshold potential - 阈电位,M000246,Threshold potential,阈电位,,abbr.,生理,,Threshold potential is the minimum level of stimulus intensity needed to trigger an action potential in a neuron.,The neuron reaches the threshold potential and triggers an action potential.,,,250920O058,
Overshoot - 超冲,M000247,Overshoot,超冲,,abbr.,,,To overshoot is to go beyond a designated target or limit.,The rocket's trajectory caused it to overshoot the designated landing zone.,,,250920O058,
Undershoot - 下冲,M000248,Undershoot,下冲,,abbr.,,,To undershoot means to fall short of a target or goal.,The pilot managed to undershoot the runway during landing.,,,250920O058,
Drift - 漂移,M000249,Drift,漂移,,abbr.,,,"Drift refers to moving slowly or aimlessly, often due to external forces.",The leaves began to drift softly down from the trees.,,,250920O058,
V-G ion channels - 电压门控离子通道,M000250,V-G ion channels,电压门控离子通道,voltage-gated channels,abbr.,生物,,V-G ion channels are proteins that open or close in response to changes in voltage across a cell membrane.,V-G ion channels play a crucial role in action potential generation in neurons.,,,250920O058,
Gastropod - 腹足类动物,M000251,Gastropod,腹足类动物,,abbr.,生物,,"A gastropod is a type of mollusk that includes snails and slugs, characterized by a single, usually spiraled shell or no shell at all.","The garden was teeming with various gastropods, each leaving a slimy trail behind.",,,250920O058,
Nodes of ranvier - 朗飞结,M000252,Nodes of ranvier,朗飞结,,abbr.,解剖,,Nodes of ranvier are small gaps in the myelin sheath of a neuron that facilitate the rapid conduction of nerve impulses.,"The electrical signals in nerves jump from one node of Ranvier to the next, speeding up the transmission.",,,250920O058,
Saltatory conduction - 跳跃式传导,M000253,Saltatory conduction,跳跃式传导,,abbr.,生物,,Saltatory conduction is the process by which nerve impulses jump between nodes of Ranvier along myelinated axons.,Saltatory conduction enhances the speed of nerve impulse transmission along myelinated axons.,,,250920O058,
Pathologies - 病理学,M000254,Pathologies,病理学,,abbr.,醫學,,Pathologies refer to the study of diseases and the changes they cause in the body.,"Certain pathologies (autoimmune, infectious, genetic, etc.) cause the degeneration of myelin sheath in specific neurons.",,,250920O058,
Autoimmune - 自身免疫性,M000255,Autoimmune,自身免疫性,,abbr.,醫學,,Autoimmune diseases occur when the body's immune system mistakenly attacks its own cells.,Autoimmune diseases occur when the immune system mistakenly attacks the body's own cells.,,,250920O058,
Multiple sclerosis - 多发性硬化,M000256,Multiple sclerosis,多发性硬化,,abbr.,醫學,,"Multiple sclerosis is a chronic disease that affects the central nervous system, leading to various neurological symptoms.","Multiple sclerosis can affect the central nervous system, leading to various neurological symptoms.",,,250920O058,
Guillain-barré syndrome - 格林－巴利综合征,M000257,Guillain-barré syndrome,格林－巴利综合征,/ɡiˈjeɪn bɑˈreɪ ˈsɪn droʊm/,P.,醫學,,Guillain-barré syndrome is a rare autoimmune disorder that affects the peripheral nervous system.,The patient was diagnosed with Guillain-barré syndrome after experiencing sudden muscle weakness.,,,250920O058,
