WMpair,MemoID,Word,ZhDef,IPA,POS,Tag,Rarity,EnDef,Example,PPfix,PPmeans,BatchID,BatchNote
S-P pump - 钠-钾泵,M000232,S-P pump,钠-钾泵,sodium-potassium pump,abbr.,生理,,The S-P pump is responsible for transporting sodium and potassium ions across cell membranes.,The disruption of the S-P pump can lead to serious cellular problems.,,sodium_potassium_pump,250920I058,「hh」
Ion pump - 离子泵,M000233,Ion pump,离子泵,/aɪˈɒn pʌmp/,P.,生物,,An ion pump is a protein that helps transport ions across a cell membrane.,The ion pump actively moves sodium ions out of the cell while bringing potassium ions in.,,ion_pump,250920I058,「hh」
Depolarization - 去极化,M000234,Depolarization,去极化,/ˌdiːˌpoʊlərɪˈzeɪʃən/,n.,生物,,"Depolarization is the process by which a cell's membrane potential becomes less negative, moving toward zero.",The depolarization of the neuron allowed the electrical signal to propagate along the axon.,,cell_membrane_potential_less_negative,250920I058,「hh」
Hyperpolarization - 超极化,M000235,Hyperpolarization,超极化,/ˌhaɪpəˌpɔːləraɪˈzeɪʃən/,n.,生理,,"Hyperpolarization refers to the process where a cell undergoes an increase in polarization, making it more negatively charged inside compared to the outside.","During the action potential, hyperpolarization occurs after depolarization as the cell restores its resting membrane potential.",hyper-,increase_in_polarity,250920I058,「hh」
Synapse - 突触,M000236,Synapse,突触,/ˈsɪnæps/,n.,解剖,,A synapse is the junction between two neurons where signals are transmitted.,"The neuron released neurotransmitters into the synapse, allowing communication with the next nerve cell.",,nerve_junction,250920I058,「hh」
Repolarization - 复极化,M000237,Repolarization,复极化,/ˌriːpəˌlɑːərəˈzeɪʃən/,n.,生理,,Repolarization is the process by which a cell's membrane potential returns to its resting state after depolarization.,"After the action potential, the neuron undergoes repolarization to restore its resting membrane potential.",re polar ization,return_to_rest_state,250920I058,「hh」
Chemical gradient - 化学梯度,M000238,Chemical gradient,化学梯度,/ˈkɛmɪkəl ˈɡreɪdɪənt/,P.,生物,,A chemical gradient refers to the gradual change in the concentration of a chemical substance in a given area.,"In cells, the movement of nutrients often occurs along a chemical gradient from high to low concentration.",,chemical_gradient,250920I058,「hh」
Intracellular - 细胞内,M000239,Intracellular,细胞内,/ˌɪntrəˈsɛljələr/,adj.,生物,,Intracellular refers to something that exists or occurs within a cell.,The drug works by targeting intracellular receptors.,,within_cell,250920I058,「hh」
Concentration - 浓度,M000240,Concentration,浓度,/ˌkɒn.sənˈtreɪ.ʃən/,n.,化學,,Concentration refers to the amount of a substance in a given volume of solution.,The concentration of salt in the water was too high for the fish to survive.,,amount_of_substance_in_solution,250920I058,「hh」
Phospholipid - 磷脂,M000241,Phospholipid,磷脂,/ˌfɑːsfoʊˈlɪpɪd/,n.,生物,,A phospholipid is a class of lipids that are a major component of all cell membranes.,"Phospholipids organize into bilayers, forming the foundation of cell membranes.",,phospho_lipid,250920I058,「hh」
Bilayer - 双层,M000242,Bilayer,双层,/ˈbaɪˌleɪər/,n.,生物,,"A bilayer is a structure consisting of two layers of molecules, typically found in cell membranes.",The lipid bilayer forms the fundamental structure of cell membranes.,bi layer,two_layers,250920I058,「hh」
Mammalian - 哺乳动物的,M000243,Mammalian,哺乳动物的,/məˈmeɪliən/,adj.,生物,,Mammalian creatures are characterized by their ability to produce milk for their offspring.,Whales are a group of mammalian species that have adapted to live in the ocean.,,mammal_related,250920I058,「hh」
Canonical ionic distributions - 典型离子分布,M000244,Canonical ionic distributions,典型离子分布,/kəˈnænɪkəl ˈaɪənɪk dɪsˈtrɪbjuːʃənz/,P.,化學,,Canonical ionic distributions are standard representations of how ions are arranged in a specific chemical environment.,"In electrochemistry, understanding the canonical ionic distributions helps predict reaction behaviors at electrodes.",,canonical_ionic_distributions,250920I058,「hh」
Graded (Passive) potentials - 分级（被动）电位,M000245,Graded (Passive) potentials,分级（被动）电位,/ˈɡreɪdɪd pəˈtɛnʃəlz/,P.,生理,,Graded potentials are passive electrical signals that vary in magnitude and decrease in strength with distance.,The sensory neurons generate graded potentials when they detect stimuli.,,graded_passive_potentials,250920I058,「hh」
Threshold potential - 阈电位,M000246,Threshold potential,阈电位,/ˈθrɛʃhoʊld pəˈtɛnʃəl/,P.,生理,,The threshold potential is the level of membrane depolarization that must be reached for an action potential to occur.,"When the neuron reaches its threshold potential, it fires an action potential.",threshold potential,level_of_membrane_depolarization,250920I058,「hh」
Overshoot - 超冲,M000247,Overshoot,超冲,/ˈoʊvərˌʃut/,vt.,,,To overshoot means to go beyond a target or limit.,The pilot had to be careful not to overshoot the runway during landing.,,,250920I058,「hh」
Undershoot - 下冲,M000248,Undershoot,下冲,/ˈʌndərʃut/,vi.,航空,,To undershoot is to fail to reach a target or limit.,The aircraft began to undershoot the runway during landing.,under-,fail_to_reach_target_or_limit,250920I058,「hh」
Drift - 漂移,M000249,Drift,漂移,/drɪft/,vi.,交通,,"As the boat began to drift away from the dock, the captain shouted for everyone to hold on tight.",The leaves started to drift down from the trees as autumn approached.,drift,move_aimlessly,250920I058,「hh」
V-G ion channels - 电压门控离子通道,M000250,V-G ion channels,电压门控离子通道,voltage-gated channels,abbr.,生物,,V-G ion channels are membrane proteins that open or close in response to voltage changes across the cell membrane.,These channels play a critical role in the generation of electrical signals in neurons.,,voltage_gated_ion_channels,250920I058,「hh」
Gastropod - 腹足类动物,M000251,Gastropod,腹足类动物,/ˈɡæstrəˌpɒd/,n.,生物,,A gastropod is a member of the class of mollusks known for their muscular foot and often spiral shell.,"The garden was home to several varieties of gastropods, which crawled slowly among the leaves.",gastro- pod-,muscular_foot mollusk,250920I058,「hh」
Nodes of ranvier - 朗飞结,M000252,Nodes of ranvier,朗飞结,/noʊdz əv ˈrænvieɚ/,P.,解剖,,The nodes of Ranvier are the gaps in the myelin sheath of a nerve fiber that facilitate rapid signal conduction.,"The action potential jumps between the nodes of Ranvier, making the signal travel faster along the axon.",node_of_ranvier,gaps_in_myelin_sheath,250920I058,「hh」
Saltatory conduction - 跳跃式传导,M000253,Saltatory conduction,跳跃式传导,/sælˈteɪtəri kɒnˈdʌkʃən/,P.,生物,,"Saltatory conduction is the process by which nerve impulses jump from one node of Ranvier to another, increasing the speed of transmission.","In my biology class, we learned how saltatory conduction allows for rapid communication between neurons.",saltat- con-,jumping_conduction,250920I058,「hh」
Pathologies - 病理学,M000254,Pathologies,病理学,/pəˈθɑlədʒiz/,n.,醫學,,Pathologies are conditions that relate to the study of diseases and their effects on the body.,"Certain pathologies (autoimmune, infectious, genetic, etc.) cause the degeneration of myelin sheath in specific neurons.",,diseases_study,250920I058,「hh」
Autoimmune - 自身免疫性,M000255,Autoimmune,自身免疫性,/ˌɔːtəʊɪˈmjun/,adj.,醫學,,Autoimmune diseases occur when the body's immune system mistakenly attacks its own cells.,She was diagnosed with an autoimmune disorder that affects her joints.,auto_immune,self_immunity,250920I058,「hh」
Multiple sclerosis - 多发性硬化,M000256,Multiple sclerosis,多发性硬化,/ˈmʌltəpəl skləˈroʊsɪs/,P.,醫學,,Multiple sclerosis is a chronic disease affecting the central nervous system.,Many people with multiple sclerosis experience symptoms like fatigue and muscle weakness.,__skip__,__skip__,250920I058,「hh」
Guillain-barré syndrome - 格林－巴利综合征,M000257,Guillain-barré syndrome,格林－巴利综合征,/ɡɪˈjæn bɑːˈreɪ ˈsɪndroʊm/,P.,醫學,,Guillain-barré syndrome is a disorder in which the body's immune system attacks the nerves.,He was diagnosed with Guillain-barré syndrome after experiencing sudden weakness in his legs.,guillain barré syndrome,guillain_barré_syndrome,250920I058,「hh」
