Phospholipid - 磷脂,M000241,Phospholipid,磷脂,/ˌfɒsfoʊˈlɪpɪd/,n.,生物,,A phospholipid is a type of lipid molecule that is a major component of cell membranes.,Phospholipids are crucial for maintaining the structural integrity of cell membranes in all living organisms.,phospho lipid,phosphate fat,251013B036,
Bilayer - 双层,M000242,Bilayer,双层,/ˈbaɪˌleɪər/,n.,生物,,"A bilayer consists of two layers of molecules, often used to describe cell membranes.","In the study of cell biology, researchers examined how proteins interact within the lipid bilayer.",bi layer,two layer,251013B036,
Mammalian - 哺乳动物的,M000243,Mammalian,哺乳动物的,/məˈmeɪliən/,adj.,生物,,Mammalian characteristics include being warm-blooded and having hair or fur.,The mammalian species such as humans and whales share common ancestors.,mamma lian,breast pertaining_to,251013B036,
Canonical ionic distributions - 典型离子分布,M000244,Canonical ionic distributions,典型离子分布,,P.,化學,RARE,Canonical ionic distributions refer to the typical arrangement of ions in a given context.,"In the study of materials, understanding canonical ionic distributions aids in predicting material properties.",canon ical ion ic,law pertaining_to going belonging_to,251013B036,
Graded (Passive) potentials - 分级（被动）电位,M000245,Graded (Passive) potentials,分级（被动）电位,,P.,生理,,Graded (Passive) potentials are changes in membrane potential that vary in size. ,"During neurophysiology exams, students must understand how graded (passive) potentials affect neuron function.",,,251013B036,
Threshold potential - 阈电位,M000246,Threshold potential,阈电位,/ˈθreʃhoʊld pəˈtɛnʃəl/,P.,生物,,Threshold potential is the critical level to which a membrane potential must be depolarized to initiate an action potential.,"When the neuron reaches its threshold potential, an action potential is triggered, allowing the nerve signal to propagate.",,,251013B036,
Overshoot - 超冲,M000247,Overshoot,超冲,/ˈoʊvərˌʃuːt/,vt.,工程,,"To overshoot is to go beyond or exceed a target or limit, often unintentionally.",The spacecraft managed to overshoot its intended orbit due to a miscalculation.,over shoot,above target,251013B036,
Undershoot - 下冲,M000248,Undershoot,下冲,/ˌʌndərˈʃuːt/,vi.,,,To undershoot means to fall short of reaching a target or intended mark.,The pilot had to correct the plane's course after it began to undershoot the runway.,,,251013B036,
Drift - 漂移,M000249,Drift,漂移,/drɪft/,vi.,物理,,Drift means to be carried slowly by a current of air or water.,"The boat began to drift away from the shore, carried by the gentle waves.",,,251013B036,
V-G ion channels - 电压门控离子通道,M000250,V-G ion channels,电压门控离子通道,,abbr.,生物,,V-G ion channels are channels that open or close in response to changes in membrane voltage.,Researchers study V-G ion channels to understand their role in cellular excitability.,,,251013B036,
Gastropod - 腹足类动物,M000251,Gastropod,腹足类动物,/ˈɡæstrəˌpɒd/,n.,生物,,A gastropod is a type of animal that includes snails and slugs.,The museum had an exhibit featuring various gastropod shells.,gastro pod,stomach foot,251013B036,
Nodes of ranvier - 朗飞结,M000252,Nodes of ranvier,朗飞结,/ˈnoʊdz əv ˈrɒnviˌeɪ/,P.,生物,RARE,Nodes of Ranvier are gaps in the myelin sheath of a nerve cell that facilitate rapid conduction of nerve impulses.,"The action potential jumps from one node of Ranvier to the next, enabling faster signal transmission in neurons.",ranvier,ravier,251013B036,
Saltatory conduction - 跳跃式传导,M000253,Saltatory conduction,跳跃式传导,/ˈsɔːltəˌtɔːri kənˈdʌkʃən/,P.,,,"Saltatory conduction is the process by which nerve impulses jump between the nodes of Ranvier, speeding up transmission.","In multiple sclerosis, the loss of myelin disrupts saltatory conduction, leading to slower nerve impulse transmission.",saltato ry conduct ion,jump related lead process,251013B036,
Pathologies - 病理学,M000254,Pathologies,病理学,/pəˈθɑːlədʒiz/,n.,醫學,,Pathologies is the study of diseases and their effects on the body.,The medical students examined various pathologies to better understand disease mechanisms.,patho logy,disease study_of,251013B036,
Autoimmune - 自身免疫性,M000255,Autoimmune,自身免疫性,/ˌɔːtoʊɪˈmjuːn/,adj.,醫學,,Autoimmune diseases occur when the immune system attacks the body's own cells.,Rheumatoid arthritis is an autoimmune disorder where the immune system erroneously targets joint tissues.,auto immun,self protection,251013B036,
Multiple sclerosis - 多发性硬化,M000256,Multiple sclerosis,多发性硬化,/ˈmʌltəpəl skləˈroʊsɪs/,P.,醫學,,Multiple sclerosis is a chronic disease affecting the central nervous system leading to a variety of symptoms.,Patients with multiple sclerosis often experience fatigue and difficulty walking.,multi ple scler osis,many fold hardening condition,251013B036,
Guillain-barré syndrome - 格林－巴利综合征,M000257,Guillain-barré syndrome,格林－巴利综合征,/ˈɡiːjæn ˌbɑːˈreɪ ˈsɪnˌdroʊm/,P.,醫學,RARE,Guillain-Barré syndrome is a rare disorder where the body's immune system attacks the nerves.,"After a viral infection, the patient was diagnosed with Guillain-Barré syndrome, which caused muscle weakness.",,,251013B036,
